扰动组,取值,指标,数值,单位,扰动口径,备注
中继机数,n_relay=1,超额站·秒,2165.6552298211905,站·s,固定交付排班，只改该参数；不含重解,最少站数峰值 2
中继机数,n_relay=2,超额站·秒,0.0,站·s,固定交付排班，只改该参数；不含重解,最少站数峰值 2
中继机数,n_relay=3,超额站·秒,0.0,站·s,固定交付排班，只改该参数；不含重解,最少站数峰值 2
中继机数,不随 n_relay 变,同时最少站数峰值,2.0,个,固定交付排班，只改该参数；不含重解,该值只由失效区间与覆盖关系决定
合并窗口,"gap=600, max_job=2400",计划悬停站服务次数,7.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=600, max_job=2400",实际悬停站服务次数,7.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=600, max_job=2400",弃飞架次数,0.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=600, max_job=2400",中继出动次数,2.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=600, max_job=2400",站间接续次数,5.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=600, max_job=2400",直连时间占比,0.7167366137810155,—,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=600, max_job=2400",中继时间占比,0.28326338621898456,—,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=600, max_job=2400",中断时间占比,0.0,—,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=600, max_job=2400",中继能耗kWh,3.6767234892922955,kWh,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=900, max_job=3600（交付档）",计划悬停站服务次数,7.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=900, max_job=3600（交付档）",实际悬停站服务次数,7.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=900, max_job=3600（交付档）",弃飞架次数,0.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=900, max_job=3600（交付档）",中继出动次数,2.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=900, max_job=3600（交付档）",站间接续次数,5.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=900, max_job=3600（交付档）",直连时间占比,0.7167366137810155,—,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=900, max_job=3600（交付档）",中继时间占比,0.28326338621898456,—,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=900, max_job=3600（交付档）",中断时间占比,0.0,—,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=900, max_job=3600（交付档）",中继能耗kWh,3.6767234892922955,kWh,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=1200, max_job=4800",计划悬停站服务次数,7.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=1200, max_job=4800",实际悬停站服务次数,7.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=1200, max_job=4800",弃飞架次数,0.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=1200, max_job=4800",中继出动次数,2.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=1200, max_job=4800",站间接续次数,5.0,次,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=1200, max_job=4800",直连时间占比,0.7167366137810155,—,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=1200, max_job=4800",中继时间占比,0.28326338621898456,—,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=1200, max_job=4800",中断时间占比,0.0,—,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
合并窗口,"gap=1200, max_job=4800",中继能耗kWh,3.6767234892922955,kWh,固定交付运输排班，按该窗口重组中继架次并重排班后重做终检,
审计步长,Δt=0.5 s,直连时间占比,0.7165911816871015,—,交付方案固定，只改重采样的步长；不含重解,
审计步长,Δt=0.5 s,中继时间占比,0.28340881831289844,—,交付方案固定，只改重采样的步长；不含重解,
审计步长,Δt=0.5 s,中断时间占比,0.0,—,交付方案固定，只改重采样的步长；不含重解,
审计步长,Δt=1 s,直连时间占比,0.7167366137810155,—,交付方案固定，只改重采样的步长；不含重解,
审计步长,Δt=1 s,中继时间占比,0.28326338621898456,—,交付方案固定，只改重采样的步长；不含重解,
审计步长,Δt=1 s,中断时间占比,0.0,—,交付方案固定，只改重采样的步长；不含重解,
审计步长,Δt=2 s,直连时间占比,0.7166215658423535,—,交付方案固定，只改重采样的步长；不含重解,
审计步长,Δt=2 s,中继时间占比,0.2833784341576464,—,交付方案固定，只改重采样的步长；不含重解,
审计步长,Δt=2 s,中断时间占比,0.0,—,交付方案固定，只改重采样的步长；不含重解,
通信·遮挡损耗,Lobs-3 dB,直连时间占比,0.8507088549409022,—,交付轨迹固定，只改链路预算中的该项；不含重解中继方案,
通信·遮挡损耗,Lobs+0 dB,直连时间占比,0.7167366137809433,—,交付轨迹固定，只改链路预算中的该项；不含重解中继方案,
通信·遮挡损耗,Lobs+3 dB,直连时间占比,0.6276020971243065,—,交付轨迹固定，只改链路预算中的该项；不含重解中继方案,
通信·接收门限,门限-3 dB,直连时间占比,0.8507088549409022,—,交付轨迹固定，只改链路预算中的该项；不含重解中继方案,
通信·接收门限,门限+0 dB,直连时间占比,0.7167366137809433,—,交付轨迹固定，只改链路预算中的该项；不含重解中继方案,
通信·接收门限,门限+3 dB,直连时间占比,0.6276020971243065,—,交付轨迹固定，只改链路预算中的该项；不含重解中继方案,
交付解·最小裕量,全部架次取最小,最小直连裕量,-6.234781926812332,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,出现在 T21
交付解·最小裕量,全部架次,最小直连裕量非负的架次数,5.0,个,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,共 24 个架次
交付解·最小裕量,全部失效区间取最小,最小接入裕量,0.4227893634967188,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,出现在 G11
交付解·最小裕量·逐架次,T01,最小直连裕量,1.863339136917432,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T02,最小直连裕量,1.863339136917432,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T03,最小直连裕量,2.2165191732962626,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T04,最小直连裕量,-5.479912251162574,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T05,最小直连裕量,-5.447075697234652,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T06,最小直连裕量,-1.2167163834791381,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T07,最小直连裕量,1.863339136917432,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T08,最小直连裕量,-2.756772722393208,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
